date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:22:40	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6862-239b%22	https://dumbpy.github.io/robots.txt		(from )
02:22:40	3543/3543	---M-Z	200	added ('OK')	text/html	etag:W/%22603b3de5-dd7%22	https://dumbpy.github.io/Wedding-Invitation/	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/index.html	(from )
02:22:41	12197/12197	---M--	200	added ('OK')	image/png	etag:%22603b3de5-2fa5%22	https://dumbpy.github.io/Wedding-Invitation/favicon.png	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/favicon.png	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:41	8619/8619	---M-Z	200	added ('OK')	text/css	etag:W/%22603b3de5-21ab%22	https://dumbpy.github.io/Wedding-Invitation/css/style.css	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/css/style.css	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:41	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/invite/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:43	133552/133552	---M--	200	added ('OK')	image/png	etag:%225ff0248bdb254d3054c89f4e2352085f%22	https://i.imgur.com/dGOOfnA.png	C:/My%20Web%20Sites/invite/i.imgur.com/dGOOfnA.png	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:44	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15851%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/invite/cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:44	125466/125466	---M--	200	added ('OK')	image/png	etag:%2243930e18a90b6b0a221e583b238f53e6%22	https://i.imgur.com/t6ffnbn.png	C:/My%20Web%20Sites/invite/i.imgur.com/t6ffnbn.png	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:44	2805/2805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22af5-/rzjY+o+gj5ysLsL2obKm+pZfnA%22	https://cdn.jsdelivr.net/gh/timoschaefer/jQuery-Sakura/jquery-sakura.min.js	C:/My%20Web%20Sites/invite/cdn.jsdelivr.net/gh/timoschaefer/jQuery-Sakura/jquery-sakura.min.js	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:45	1441/1441	---M-Z	200	added ('OK')	application/javascript	etag:W/%22603b3de5-5a1%22	https://dumbpy.github.io/Wedding-Invitation/js/script.js	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/js/script.js	(from https://dumbpy.github.io/Wedding-Invitation/)
02:22:46	88820/88820	---M-Z	200	added ('OK')	font/ttf	etag:W/%22603b3de5-15af4%22	https://dumbpy.github.io/Wedding-Invitation/assets/fonts/edwardian-script-itc-regular.ttf	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/assets/fonts/edwardian-script-itc-regular.ttf	(from https://dumbpy.github.io/Wedding-Invitation/css/style.css)
02:22:47	133524/133524	---M-Z	200	added ('OK')	font/otf	etag:W/%22603b3de5-20994%22	https://dumbpy.github.io/Wedding-Invitation/assets/fonts/YoureInvitedHeavy.otf	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/assets/fonts/YoureInvitedHeavy.otf	(from https://dumbpy.github.io/Wedding-Invitation/css/style.css)
02:22:47	115472/115472	---M-Z	200	added ('OK')	font/otf	etag:W/%22603b3de5-1c310%22	https://dumbpy.github.io/Wedding-Invitation/assets/fonts/texgyrechorus-mediumitalic.otf	C:/My%20Web%20Sites/invite/dumbpy.github.io/Wedding-Invitation/assets/fonts/texgyrechorus-mediumitalic.otf	(from https://dumbpy.github.io/Wedding-Invitation/css/style.css)
